"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"218",11,"Tyquan Thornton",NE,"WR89","151","340","212.8","29.3","+105"
"219",11,"Josh Downs",IND,"WR90","137","340","219.2","30.2","+56"
"220",11,"Mac Jones",NE,"QB30","146","357","221.6","40.8","+8"
"221",11,"Pittsburgh Steelers",PIT,"DST11","154","347","214.8","22.5","-81"
"222",11,"Younghoe Koo",ATL,"K6","155","281","217.8","16.3","-89"
"223",11,"Terrace Marshall Jr.",CAR,"WR91","144","317","225.2","29.6","+66"
"224",11,"Noah Fant",SEA,"TE26","146","311","233.6","38.1","+24"
"225",11,"Tyjae Spears",TEN,"RB61","129","361","223.6","52.5","+6"
"226",11,"Miami Dolphins",MIA,"DST12","154","305","224.3","28.3","-90"
"227",11,"Jason Sanders",MIA,"K7","156","252","221.2","13.0","-20"
"228",11,"Cincinnati Bengals",CIN,"DST13","174","303","221.7","22.7","-50"
"229",11,"Zach Ertz",ARI,"TE27","136","343","235.8","47.0","-26"
"230",11,"Joshua Kelley",LAC,"RB62","149","359","234.4","36.5","+33"
"231",11,"Leonard Fournette",FA,"RB63","128","379","220.7","52.8","-39"
"232",11,"Brandon McManus",JAC,"K8","166","292","227.3","13.1","-49"
"233",11,"Michael Carter",NYJ,"RB64","149","368","233.1","49.2","+10"
"234",11,"Jake Elliott",PHI,"K9","159","288","230.1","18.1","-74"
"235",11,"Tampa Bay Buccaneers",TB,"DST14","165","325","226.8","32.1","+6"
"236",11,"Jason Myers",SEA,"K10","159","310","232.2","21.8","-102"
"237",11,"Kareem Hunt",FA,"RB65","115","380","225.6","52.5","-32"
"238",11,"Washington Commanders",WAS,"DST15","161","355","235.2","28.6","-37"
"239",12,"Cleveland Browns",CLE,"DST16","162","355","235.2","25.8","-28"
"240",12,"Khalil Shakir",BUF,"WR92","125","345","237.1","35.5","+69"
"241",12,"Desmond Ridder",ATL,"QB31","162","328","245.9","41.4","+40"
"242",12,"Green Bay Packers",GB,"DST17","157","307","244.4","27.7","-69"
"243",12,"Richie James Jr.",KC,"WR93","145","375","240.5","36.7","+42"
"244",12,"Los Angeles Chargers",LAC,"DST18","168","344","240.9","25.7","-11"
"245",12,"Chase Edmonds",TB,"RB66","132","356","246.6","43.2","+26"
"246",12,"Michael Mayer",LV,"TE28","144","343","244.0","40.9","-47"
"247",12,"Mack Hollins",ATL,"WR94","183","334","236.8","26.4","+88"
"248",12,"Matt Gay",IND,"K11","166","309","241.4","24.8","-59"
"249",12,"Marvin Jones Jr.",DET,"WR95","161","360","243.8","28.5","+51"
"250",12,"Russell Gage",TB,"WR96","129","328","215.7","31.6","-"
"251",12,"Sterling Shepard",NYG,"WR97","120","371","242.5","39.3","+128"
"252",12,"Josh Reynolds",DET,"WR98","174","359","242.7","28.3","-"
"253",12,"Tank Dell",HOU,"WR99","75","341","213.3","56.3","-43"
"254",12,"Graham Gano",NYG,"K12","164","318","248.0","22.1","-96"
"255",12,"Greg Joseph",MIN,"K13","169","308","253.1","24.3","-23"
"256",12,"Taysom Hill",NO,"TE29","138","333","258.1","42.9","-60"
"257",12,"Nick Folk",NE,"K14","172","310","237.4","23.4","-39"
"258",12,"Indianapolis Colts",IND,"DST19","158","323","259.6","32.7","+12"
"259",12,"Kendrick Bourne",NE,"WR100","178","355","250.2","26.6","-"
"260",12,"Greg Zuerlein",NYJ,"K15","169","339","258.5","28.9","-60"
"261",12,"Cade Otton",TB,"TE30","153","340","263.5","36.7","+35"
"262",12,"Chase Brown",CIN,"RB67","129","360","256.5","50.3","-17"
"263",12,"Jake Ferguson",DAL,"TE31","138","348","231.9","58.4","-38"
"264",12,"Jacksonville Jaguars",JAC,"DST20","151","355","259.3","34.0","-66"
"265",12,"Jelani Woods",IND,"TE32","153","344","266.4","32.1","+46"
"266",12,"Baker Mayfield",TB,"QB32","165","344","272.1","38.9","-5"
"267",12,"Wil Lutz",NO,"K16","175","353","265.4","20.8","-17"
